isco08_code,occupation_title,task_score,task_exposure,task_description
2359,Teaching professionals not elsewhere classified,0.345,Low,"Assigning exercises and work relevant to students’ level of ability, interests and aptitude;"
2359,Teaching professionals not elsewhere classified,0.2875,Low,"Assessing students and offering advice, criticism and encouragement;"
2359,Teaching professionals not elsewhere classified,0.525,Medium,"Revising curricula, course content, course materials and methods of instruction"
2359,Teaching professionals not elsewhere classified,0.335,Low,Preparing students for examinations and assessments;
2359,Teaching professionals not elsewhere classified,0.31,Low,"Counselling students regarding educational issues such as course and programme selection, class scheduling, school adjustment, truancy, study habits and career planning;"
2359,Teaching professionals not elsewhere classified,0.265,Low,"Counselling students to help them understand and overcome personal, social or behavioural problems affecting their education;"
2359,Teaching professionals not elsewhere classified,0.28,Low,Preparing students for later educational experiences by encouraging them to explore learning opportunities and to persevere with challenging tasks.
2411,Accountants,0.4625,Low,"Advising on, planning and installing budgetary, accounts controlling and other accounting policies and systems;"
2411,Accountants,0.65,Medium,"Preparing and certifying financial statements for presentation to management, shareholders and statutory or other bodies;"
2411,Accountants,0.465,Low,"Preparing tax returns, advising on taxation problems and contesting disputed claims before tax officials;"
2411,Accountants,0.515,Medium,Preparing or reporting on profit forecasts and budgets;
2411,Accountants,0.415,Low,"Conducting financial investigations in such matters as suspected fraud, insolvency and bankruptcy;"
2411,Accountants,0.4335,Low,Auditing accounts and bookkeeping records;
2411,Accountants,0.565,Medium,"Conducting investigations and advising management on financial aspects of productivity, stockholdings, sales, new products, etc.;"
2411,Accountants,0.6,Medium,Devising and controlling a system to determine unit cost of products and services.
2412,Financial and investment advisers,0.385,Low,Building and maintaining a client base;
2412,Financial and investment advisers,0.635,Medium,"Interviewing clients to determine financial status and objectives, risk tolerance and other information needed to develop financial plans and investment strategies;"
2412,Financial and investment advisers,0.4925,Low,"Setting financial objectives, and developing and implementing strategies for achieving the financial objectives;"
2412,Financial and investment advisers,0.6625,Medium,Arranging to buy and sell stocks and bonds for clients;
2412,Financial and investment advisers,0.6225,Medium,"Monitoring investment performance, and reviewing and revising investment plans based on modified needs and changes in markets;"
2412,Financial and investment advisers,0.65,Medium,Recommending and arranging insurance cover for clients.
2413,Financial analysts,0.645,Medium,"Analysing financial information to produce forecasts of business, industry, and economic conditions for use in making investment decisions;"
2413,Financial analysts,0.46,Low,"Maintaining knowledge and staying abreast of developments in the fields of industrial technology, business, finance, and economic theory;"
2413,Financial analysts,0.62,Medium,"Interpreting data affecting investment programmes, such as price, yield, stability, future trends in investment risks and economic influences;"
2413,Financial analysts,0.635,Medium,"Monitoring economic, industrial, and corporate developments through analysis of information obtained from financial publications and services, investment banking firms, government agencies, trade publications, company sources and personal interviews;"
